SeniorCitizen,Partner,Dependents,OnlineSecurity,TechSupport,Contract,PaperlessBilling,tenure,MonthlyCharges,TotalCharges,Churn
Yes,Yes,No,No,No,One year,Yes,60,104.35,6261.0,0
Yes,No,No,No,Yes,Month-to-month,Yes,26,66.05,1717.3,0
No,No,Yes,No,No,Month-to-month,Yes,1,71.65,71.65,1
No,No,No,No,No,Month-to-month,No,4,20.35,81.4,1
No,Yes,Yes,Yes,Yes,Two year,Yes,68,92.2,6269.6,0
No,No,No,No,Yes,Month-to-month,Yes,38,84.25,3201.5,1
Yes,Yes,No,Yes,No,One year,Yes,42,105.2,4418.400000000001,0
No,Yes,No,No,No,Two year,Yes,57,19.6,1117.2,0
No,Yes,No,No,No,Month-to-month,No,54,30.4,1641.6,0
No,No,No,No,No,Month-to-month,No,12,78.1,937.1999999999999,1
No,Yes,No,Yes,No,One year,Yes,44,61.5,2706.0,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,42,69.4,2914.8,0
No,Yes,Yes,No,No,Two year,No,72,24.75,1782.0,0
No,Yes,Yes,Yes,Yes,Two year,No,71,91.05,6464.55,0
No,Yes,No,No,No,Month-to-month,No,19,89.65,1703.3500000000001,1
No,Yes,No,No,Yes,Month-to-month,Yes,23,73.65,1693.95,0
No,No,No,No,No,Two year,No,30,19.4,582.0,0
No,No,No,No,No,One year,No,35,26.2,917.0,0
No,No,No,Yes,No,Month-to-month,Yes,10,98.7,987.0,1
No,No,No,No,No,Month-to-month,Yes,1,43.85,43.85,0
No,No,No,No,No,Month-to-month,Yes,22,69.7,1533.4,0
No,Yes,Yes,Yes,No,Two year,No,7,38.55,269.84999999999997,0
No,No,No,Yes,Yes,Two year,Yes,36,53.1,1911.6000000000001,0
No,Yes,Yes,No,No,Month-to-month,No,34,20.65,702.0999999999999,0
No,Yes,Yes,Yes,No,Two year,No,72,64.45,4640.400000000001,0
No,Yes,Yes,No,No,Two year,No,36,25.1,903.6,0
No,No,No,No,No,Month-to-month,No,1,76.35,76.35,1
No,No,No,No,No,Month-to-month,Yes,23,79.15,1820.45,1
Yes,Yes,No,No,No,Month-to-month,Yes,32,85.0,2720.0,1
No,Yes,Yes,Yes,Yes,One year,Yes,71,95.15,6755.650000000001,0
Yes,No,No,No,No,Month-to-month,Yes,23,79.35,1825.05,0
No,Yes,No,No,No,One year,Yes,17,96.65,1643.0500000000002,0
No,No,No,No,Yes,Month-to-month,Yes,1,75.5,75.5,0
No,Yes,Yes,No,No,Two year,No,12,19.7,236.39999999999998,0
No,Yes,No,No,No,Two year,No,72,20.5,1476.0,0
No,No,No,No,No,Month-to-month,No,1,19.2,19.2,0
Yes,Yes,No,No,No,Two year,No,72,98.35,7081.2,0
No,Yes,Yes,No,No,Month-to-month,No,60,74.35,4461.0,0
No,Yes,Yes,No,Yes,Two year,No,61,51.35,3132.35,0
No,Yes,No,No,No,Month-to-month,No,6,45.65,273.9,0
Yes,Yes,No,No,No,Month-to-month,No,32,85.3,2729.6,1
No,No,Yes,No,No,Month-to-month,Yes,31,86.55,2683.0499999999997,1
No,No,No,No,No,Month-to-month,Yes,19,73.85,1403.1499999999999,1
No,Yes,Yes,No,No,Two year,No,72,20.3,1461.6000000000001,0
No,No,No,No,No,Month-to-month,Yes,32,54.2,1734.4,0
No,Yes,No,No,No,Month-to-month,Yes,65,90.65,5892.25,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,45,50.9,2290.5,0
No,No,No,No,No,One year,No,42,25.05,1052.1000000000001,0
No,No,No,No,No,Month-to-month,Yes,8,74.85,598.8,0
No,No,Yes,No,No,Two year,No,32,20.5,656.0,0
Yes,Yes,No,Yes,Yes,Month-to-month,Yes,22,63.55,1398.1,0
Yes,Yes,No,No,No,Month-to-month,Yes,57,44.85,2556.4500000000003,1
No,No,No,Yes,No,Month-to-month,No,1,47.95,47.95,0
Yes,No,No,No,No,Month-to-month,No,1,45.1,45.1,1
No,Yes,No,No,No,Month-to-month,Yes,1,45.0,45.0,0
No,No,No,No,Yes,Month-to-month,Yes,24,96.0,2304.0,1
No,No,No,No,No,Month-to-month,No,1,20.05,20.05,1
Yes,No,No,No,No,Month-to-month,Yes,54,90.05,4862.7,0
No,No,No,No,No,Two year,Yes,4,25.3,101.2,0
No,Yes,Yes,Yes,Yes,Two year,No,65,108.65,7062.25,1
No,Yes,No,No,No,One year,No,56,24.3,1360.8,0
No,No,No,Yes,No,Month-to-month,Yes,45,75.95,3417.75,0
No,Yes,Yes,No,No,Two year,No,71,19.7,1398.7,0
No,Yes,No,Yes,No,One year,No,59,66.4,3917.6000000000004,0
No,No,No,No,No,One year,Yes,69,35.75,2466.75,0
No,No,No,No,No,One year,No,19,18.8,357.2,0
No,Yes,Yes,No,No,Two year,No,55,19.4,1067.0,0
No,No,No,No,No,One year,No,38,19.3,733.4,0
No,No,No,No,No,Month-to-month,Yes,10,45.55,455.5,1
Yes,Yes,No,Yes,No,Month-to-month,Yes,47,67.45,3170.15,0
No,Yes,No,No,No,Month-to-month,Yes,2,35.1,70.2,1
No,No,No,No,No,Month-to-month,No,1,46.2,46.2,1
No,No,No,No,No,Month-to-month,No,1,45.15,45.15,1
Yes,No,No,No,No,Month-to-month,Yes,1,43.3,43.3,1
No,Yes,Yes,No,No,Two year,Yes,46,20.1,924.6,0
Yes,No,No,Yes,No,Month-to-month,Yes,38,57.15,2171.7,1
No,Yes,No,Yes,Yes,Two year,No,65,58.9,3828.5,0
No,Yes,No,Yes,No,Month-to-month,Yes,19,73.2,1390.8,1
No,No,No,No,No,Month-to-month,Yes,52,85.35,4438.2,1
No,Yes,Yes,No,No,Two year,No,71,19.45,1380.95,0
No,No,No,No,No,Month-to-month,No,1,45.95,45.95,1
Yes,No,No,No,Yes,Month-to-month,Yes,52,50.5,2626.0,0
No,Yes,No,No,No,One year,No,6,25.1,150.60000000000002,0
Yes,Yes,No,No,No,One year,No,26,60.7,1578.2,0
Yes,No,No,No,No,One year,Yes,48,99.0,4752.0,0
No,Yes,Yes,Yes,Yes,One year,Yes,64,104.4,6681.6,0
No,No,No,No,No,Month-to-month,No,3,83.75,251.25,1
No,No,No,No,No,Month-to-month,Yes,1,44.05,44.05,0
No,Yes,Yes,No,No,Two year,No,72,24.1,1735.2,0
No,No,No,No,No,Month-to-month,Yes,1,45.55,45.55,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,51,93.8,4783.8,0
No,Yes,Yes,No,No,Two year,No,41,19.7,807.6999999999999,0
No,Yes,Yes,Yes,No,Two year,Yes,72,70.65,5086.8,0
No,Yes,No,Yes,Yes,Two year,No,43,86.45,3717.35,0
No,Yes,No,Yes,Yes,Two year,Yes,72,114.1,8215.199999999999,0
No,Yes,No,No,No,One year,Yes,47,95.2,4474.400000000001,0
No,No,No,Yes,Yes,Two year,No,72,88.55,6375.599999999999,0
No,No,No,No,No,Month-to-month,Yes,3,20.75,62.25,0
No,No,No,No,No,Month-to-month,Yes,1,70.05,70.05,1
No,No,No,No,No,Month-to-month,Yes,2,86.0,172.0,1
No,No,No,Yes,No,Month-to-month,Yes,26,44.65,1160.8999999999999,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,29,60.2,1745.8000000000002,0
Yes,Yes,No,Yes,Yes,Month-to-month,Yes,35,100.5,3517.5,1
No,No,No,Yes,No,One year,No,27,55.45,1497.15,0
No,Yes,Yes,Yes,Yes,Month-to-month,Yes,24,70.3,1687.1999999999998,0
No,Yes,Yes,Yes,Yes,Two year,Yes,67,60.4,4046.7999999999997,0
No,No,No,No,No,Month-to-month,No,16,72.65,1162.4,1
No,No,No,No,No,One year,No,23,55.8,1283.3999999999999,0
No,No,No,No,No,Month-to-month,Yes,14,31.1,435.40000000000003,0
No,Yes,Yes,No,No,Month-to-month,Yes,1,21.0,21.0,1
Yes,No,No,No,No,Month-to-month,No,1,45.1,45.1,1
Yes,No,No,No,No,Month-to-month,Yes,4,50.95,203.8,0
No,No,Yes,Yes,No,Month-to-month,Yes,16,69.1,1105.6,0
No,Yes,No,No,No,Month-to-month,Yes,46,43.95,2021.7,0
No,No,Yes,Yes,Yes,Two year,Yes,68,86.5,5882.0,0
No,No,No,Yes,Yes,Month-to-month,No,38,69.95,2658.1,0
Yes,Yes,No,No,No,Month-to-month,Yes,30,50.4,1512.0,1
Yes,No,No,No,No,Month-to-month,No,5,78.95,394.75,1
No,No,No,No,No,Month-to-month,Yes,17,90.95,1546.15,0
No,Yes,Yes,No,No,Two year,No,4,19.9,79.6,0
No,No,No,No,No,One year,No,12,20.15,241.79999999999998,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,90.6,6523.2,0
No,No,No,No,No,Month-to-month,Yes,3,92.0,276.0,0
No,No,No,No,Yes,Month-to-month,Yes,56,94.45,5289.2,1
No,No,No,No,No,One year,Yes,41,24.85,1018.85,0
No,No,No,No,Yes,One year,No,40,36.0,1440.0,0
No,No,No,Yes,Yes,Month-to-month,Yes,7,78.5,549.5,0
No,No,No,No,No,Two year,No,69,19.95,1376.55,0
No,Yes,Yes,No,No,One year,No,7,20.65,144.54999999999998,0
No,Yes,Yes,No,No,Month-to-month,Yes,5,30.5,152.5,0
No,Yes,Yes,Yes,Yes,Two year,No,72,106.1,7639.2,0
No,Yes,Yes,No,No,One year,Yes,44,20.5,902.0,0
No,No,No,No,No,One year,Yes,65,95.5,6207.5,0
No,No,No,No,Yes,Month-to-month,No,3,64.6,193.79999999999998,0
No,No,No,No,Yes,Month-to-month,Yes,24,51.1,1226.4,0
No,No,No,No,No,Month-to-month,Yes,44,84.8,3731.2,1
Yes,Yes,No,Yes,Yes,Two year,No,72,89.1,6415.2,0
No,No,No,Yes,Yes,Month-to-month,No,24,54.95,1318.8000000000002,0
No,No,No,No,No,Month-to-month,No,1,50.9,50.9,1
No,Yes,No,No,No,Month-to-month,Yes,22,20.45,449.9,0
No,Yes,Yes,No,Yes,Two year,Yes,70,85.95,6016.5,0
No,Yes,Yes,No,No,Month-to-month,No,25,60.35,1508.75,0
No,Yes,Yes,No,No,Two year,No,37,19.8,732.6,0
Yes,Yes,Yes,No,No,Month-to-month,No,22,85.35,1877.6999999999998,0
No,Yes,Yes,No,Yes,Two year,Yes,59,72.1,4253.9,0
No,Yes,Yes,No,No,Month-to-month,Yes,49,99.8,4890.2,1
No,Yes,Yes,No,Yes,Month-to-month,Yes,47,107.35,5045.45,1
No,Yes,Yes,No,No,Month-to-month,Yes,31,19.55,606.0500000000001,1
No,Yes,Yes,No,No,Month-to-month,Yes,1,81.05,81.05,0
No,No,No,No,No,Month-to-month,Yes,3,20.5,61.5,0
No,Yes,No,No,Yes,One year,Yes,53,111.8,5925.4,0
No,No,No,No,No,Month-to-month,No,1,20.2,20.2,0
No,No,No,No,No,One year,Yes,20,19.7,394.0,0
No,No,No,Yes,No,Month-to-month,Yes,3,79.1,237.29999999999998,1
No,No,No,No,No,One year,Yes,51,19.85,1012.35,0
No,Yes,No,Yes,Yes,One year,Yes,51,60.5,3085.5,0
No,Yes,Yes,No,No,Two year,No,13,19.55,254.15,0
No,No,No,No,No,Month-to-month,No,1,20.9,20.9,0
No,No,Yes,No,No,Month-to-month,Yes,1,21.05,21.05,0
No,No,No,Yes,Yes,One year,No,63,71.5,4504.5,0
No,No,No,No,No,Month-to-month,No,3,54.65,163.95,0
No,No,No,No,No,Two year,No,46,19.2,883.1999999999999,0
No,No,No,No,No,Month-to-month,Yes,1,49.8,49.8,0
No,No,Yes,No,No,Month-to-month,No,8,25.5,204.0,1
No,Yes,Yes,No,No,Two year,No,71,20.5,1455.5,0
No,Yes,Yes,No,No,Month-to-month,Yes,55,90.4,4972.0,0
No,No,No,No,Yes,One year,Yes,70,90.25,6317.5,0
No,No,No,No,No,Month-to-month,No,2,80.75,161.5,1
No,Yes,Yes,Yes,Yes,Two year,No,67,104.6,7008.2,0
No,Yes,No,No,No,Month-to-month,Yes,65,91.85,5970.25,1
No,Yes,No,No,No,Month-to-month,No,14,50.2,702.8000000000001,0
No,Yes,Yes,No,Yes,Month-to-month,Yes,20,95.5,1910.0,0
No,No,Yes,No,No,Month-to-month,Yes,1,75.35,75.35,1
No,No,No,No,No,Month-to-month,Yes,1,75.45,75.45,1
No,Yes,Yes,No,No,Month-to-month,Yes,49,95.4,4674.6,0
No,No,No,Yes,No,Two year,Yes,72,101.3,7293.599999999999,0
No,Yes,No,Yes,No,Month-to-month,No,46,53.1,2442.6,0
No,No,No,No,No,Month-to-month,Yes,24,84.85,2036.3999999999999,0
No,Yes,Yes,No,Yes,Month-to-month,No,5,34.25,171.25,0
No,Yes,Yes,No,Yes,Month-to-month,No,33,88.6,2923.7999999999997,0
No,No,No,Yes,No,One year,Yes,42,60.15,2526.2999999999997,0
No,No,No,Yes,No,One year,Yes,23,99.95,2298.85,0
No,No,No,No,No,Month-to-month,No,8,70.7,565.6,0
No,No,No,Yes,No,One year,Yes,66,54.8,3616.7999999999997,0
No,No,No,Yes,No,Month-to-month,Yes,24,49.55,1189.1999999999998,1
Yes,No,No,No,No,Month-to-month,No,24,54.8,1315.1999999999998,0
No,No,No,Yes,Yes,One year,Yes,69,78.6,5423.4,1
No,No,No,No,No,One year,Yes,53,100.3,5315.9,0
No,No,No,Yes,No,Two year,No,60,53.6,3216.0,0
No,Yes,No,No,No,Month-to-month,Yes,7,81.1,567.6999999999999,1
No,No,No,No,No,One year,Yes,20,19.35,387.0,0
No,Yes,Yes,No,No,Month-to-month,No,23,85.6,1968.8,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,80.8,5817.599999999999,0
No,Yes,No,No,No,Month-to-month,Yes,11,74.95,824.45,1
No,No,No,No,No,Two year,No,21,19.6,411.6,0
Yes,No,No,No,No,Month-to-month,Yes,1,93.55,93.55,1
Yes,No,No,No,No,Month-to-month,Yes,31,90.7,2811.7000000000003,0
No,No,No,No,Yes,Two year,No,57,69.75,3975.75,0
No,Yes,Yes,No,No,Two year,Yes,45,20.0,900.0,0
No,No,No,No,No,Month-to-month,Yes,10,95.25,952.5,0
No,Yes,No,No,Yes,Month-to-month,Yes,58,102.1,5921.799999999999,1
No,No,Yes,No,No,Month-to-month,No,14,19.95,279.3,0
No,Yes,No,Yes,Yes,One year,No,27,80.85,2182.95,0
No,Yes,Yes,No,No,Month-to-month,Yes,14,90.9,1272.6000000000001,1
No,Yes,Yes,No,No,Month-to-month,No,12,29.2,350.4,1
No,Yes,Yes,No,Yes,Two year,Yes,69,93.3,6437.7,0
No,Yes,Yes,No,No,Month-to-month,Yes,25,89.15,2228.75,1
Yes,Yes,No,Yes,No,One year,Yes,58,108.85,6313.299999999999,1
No,Yes,Yes,Yes,Yes,Two year,Yes,35,46.35,1622.25,0
Yes,No,No,No,No,Month-to-month,Yes,16,84.75,1356.0,1
No,Yes,Yes,No,No,One year,No,45,78.75,3543.75,0
No,No,No,No,No,Month-to-month,Yes,17,83.55,1420.35,0
No,Yes,Yes,No,No,Month-to-month,Yes,1,45.7,45.7,1
No,No,No,No,No,One year,No,22,19.6,431.20000000000005,0
Yes,No,No,No,No,Month-to-month,Yes,1,69.95,69.95,1
No,Yes,Yes,Yes,Yes,Two year,No,67,67.85,4545.95,0
No,Yes,Yes,No,Yes,Two year,Yes,67,105.65,7078.55,0
No,Yes,No,No,No,Month-to-month,No,2,44.6,89.2,1
No,No,No,No,No,Month-to-month,Yes,23,74.95,1723.8500000000001,1
Yes,No,No,No,No,Month-to-month,No,9,75.5,679.5,0
No,No,No,No,No,Month-to-month,No,5,20.15,100.75,0
No,No,No,Yes,Yes,Two year,No,54,45.2,2440.8,0
No,No,No,No,No,Two year,Yes,57,95.25,5429.25,1
No,No,No,No,No,Month-to-month,Yes,24,89.85,2156.3999999999996,1
No,Yes,Yes,No,No,One year,No,49,100.45,4922.05,1
No,No,No,No,No,Month-to-month,No,5,47.15,235.75,1
No,No,No,No,No,Month-to-month,Yes,2,80.2,160.4,1
No,No,Yes,No,Yes,Month-to-month,Yes,4,87.1,348.4,1
No,Yes,Yes,Yes,Yes,Two year,Yes,70,79.25,5547.5,0
No,No,No,No,No,Month-to-month,Yes,5,75.9,379.5,1
No,Yes,Yes,Yes,Yes,Month-to-month,No,53,85.7,4542.1,0
No,Yes,No,Yes,No,Month-to-month,Yes,47,98.75,4641.25,1
No,No,Yes,No,No,One year,No,31,20.1,623.1,0
No,Yes,Yes,No,Yes,Month-to-month,No,13,61.8,803.4,0
No,Yes,Yes,No,No,Month-to-month,No,28,49.9,1397.2,0
No,No,No,No,No,Month-to-month,No,10,86.45,864.5,1
No,Yes,No,No,No,Two year,No,38,20.4,775.1999999999999,0
No,No,No,No,No,Month-to-month,Yes,1,45.3,45.3,1
No,Yes,No,No,No,One year,No,67,104.1,6974.7,1
No,Yes,No,Yes,No,One year,Yes,52,75.4,3920.8,0
No,Yes,Yes,Yes,Yes,Two year,No,62,108.15,6705.3,0
No,No,No,No,No,Month-to-month,Yes,16,86.25,1380.0,0
Yes,Yes,No,No,No,Month-to-month,Yes,5,81.0,405.0,1
No,No,No,No,No,One year,No,12,95.7,1148.4,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,116.85,8413.199999999999,0
Yes,No,No,No,Yes,One year,No,71,105.75,7508.25,0
No,Yes,No,No,No,One year,No,24,20.15,483.59999999999997,0
No,No,No,No,No,Two year,No,15,19.6,294.0,0
No,Yes,No,Yes,No,One year,Yes,67,90.6,6070.2,1
No,No,Yes,Yes,No,Month-to-month,No,2,60.95,121.9,0
No,Yes,Yes,No,No,Month-to-month,No,5,25.05,125.25,0
No,Yes,No,No,No,Month-to-month,No,15,88.15,1322.25,1
No,No,No,No,No,Month-to-month,Yes,1,20.2,20.2,1
No,Yes,Yes,Yes,No,One year,Yes,41,60.3,2472.2999999999997,0
No,No,Yes,Yes,No,Month-to-month,Yes,43,63.95,2749.85,0
Yes,Yes,No,No,No,Month-to-month,No,1,74.3,74.3,0
Yes,No,No,No,No,Month-to-month,Yes,1,70.6,70.6,0
No,Yes,Yes,No,No,Month-to-month,Yes,26,90.8,2360.7999999999997,1
No,No,No,No,No,Month-to-month,Yes,22,79.35,1745.6999999999998,1
No,Yes,No,Yes,Yes,Two year,No,71,90.55,6429.05,0
No,No,No,No,No,Two year,No,7,19.45,136.15,0
Yes,No,No,No,Yes,Month-to-month,No,28,64.45,1804.6000000000001,0
Yes,No,No,No,No,Month-to-month,No,16,69.65,1114.4,0
No,No,No,No,No,One year,No,7,19.5,136.5,0
No,No,No,No,Yes,Two year,Yes,69,110.5,7624.5,0
No,No,Yes,No,No,Month-to-month,No,1,24.7,24.7,0
No,No,No,Yes,No,Month-to-month,Yes,3,77.4,232.20000000000002,0
Yes,No,No,No,No,Month-to-month,Yes,21,96.8,2032.8,1
No,Yes,No,No,No,Month-to-month,Yes,69,85.4,5892.6,0
No,Yes,No,Yes,Yes,Two year,Yes,71,47.6,3379.6,0
No,Yes,Yes,No,No,Two year,No,69,19.4,1338.6,0
No,No,No,No,Yes,Month-to-month,Yes,48,103.85,4984.799999999999,0
No,Yes,No,No,No,Month-to-month,Yes,47,83.35,3917.45,1
No,No,No,No,No,Month-to-month,Yes,2,49.4,98.8,1
No,No,No,Yes,Yes,Month-to-month,Yes,45,108.45,4880.25,0
No,No,No,No,No,Month-to-month,No,51,81.0,4131.0,0
No,Yes,No,Yes,Yes,Month-to-month,Yes,22,79.2,1742.4,1
No,No,No,Yes,Yes,Two year,No,72,86.65,6238.8,0
No,Yes,Yes,No,No,Month-to-month,Yes,37,92.95,3439.15,0
No,Yes,Yes,Yes,Yes,Two year,No,71,90.35,6414.849999999999,0
No,Yes,Yes,No,No,Month-to-month,No,7,48.7,340.90000000000003,1
No,No,No,No,No,Two year,Yes,66,25.15,1659.8999999999999,0
No,Yes,Yes,Yes,Yes,One year,Yes,51,76.4,3896.4,0
No,Yes,Yes,No,No,One year,No,30,19.55,586.5,0
No,No,No,No,No,Month-to-month,No,34,85.35,2901.8999999999996,0
No,Yes,Yes,No,No,Two year,Yes,64,24.8,1587.2,0
Yes,Yes,No,No,No,One year,Yes,65,103.15,6704.75,0
No,No,No,Yes,Yes,Month-to-month,No,47,100.75,4735.25,0
No,No,No,Yes,No,Month-to-month,Yes,1,95.6,95.6,1
No,No,No,Yes,No,Month-to-month,Yes,49,59.75,2927.75,1
No,Yes,Yes,No,Yes,Two year,No,67,94.1,6304.7,0
No,No,Yes,No,No,One year,No,39,19.35,754.6500000000001,0
No,No,No,No,No,Month-to-month,No,14,19.9,278.59999999999997,0
Yes,No,No,Yes,Yes,Month-to-month,Yes,43,108.15,4650.45,1
Yes,No,No,No,No,Month-to-month,Yes,56,101.05,5658.8,0
No,No,No,No,Yes,One year,No,14,59.1,827.4,0
No,No,No,No,No,Month-to-month,No,1,71.35,71.35,1
No,Yes,Yes,Yes,No,One year,Yes,16,55.85,893.6,0
No,Yes,Yes,Yes,No,Month-to-month,Yes,70,106.05,7423.5,0
Yes,Yes,No,Yes,No,Two year,Yes,72,84.1,6055.2,0
No,Yes,Yes,No,No,Month-to-month,Yes,23,75.3,1731.8999999999999,0
No,No,Yes,No,No,Month-to-month,No,21,24.7,518.6999999999999,0
No,No,No,No,No,Month-to-month,Yes,1,20.15,20.15,1
No,No,Yes,No,No,Month-to-month,No,1,69.75,69.75,1
Yes,Yes,No,No,No,Month-to-month,Yes,32,93.2,2982.4,1
No,Yes,Yes,No,No,Month-to-month,No,17,80.85,1374.4499999999998,1
No,No,No,Yes,No,Month-to-month,Yes,4,33.65,134.6,1
No,No,No,No,No,One year,No,36,55.8,2008.8,0
No,No,No,No,Yes,Two year,No,50,39.7,1985.0000000000002,0
No,Yes,Yes,No,Yes,Month-to-month,Yes,48,29.5,1416.0,0
No,No,Yes,No,No,Two year,No,50,20.15,1007.4999999999999,0
No,Yes,No,Yes,Yes,Two year,No,72,79.55,5727.599999999999,0
No,No,Yes,No,No,Month-to-month,No,10,24.8,248.0,0
No,No,No,No,No,Month-to-month,No,18,19.65,353.7,0
No,No,No,No,No,Month-to-month,Yes,1,79.95,79.95,1
No,No,No,No,No,Month-to-month,No,1,19.3,19.3,1
No,No,No,No,No,Month-to-month,Yes,9,94.05,846.4499999999999,0
No,No,No,Yes,No,Month-to-month,No,2,90.75,181.5,0
No,Yes,No,No,Yes,Month-to-month,Yes,40,78.85,3154.0,0
No,Yes,No,No,No,One year,No,69,99.5,6865.5,0
No,Yes,No,Yes,Yes,One year,Yes,37,99.2,3670.4,1
No,No,Yes,No,No,Month-to-month,Yes,18,80.55,1449.8999999999999,0
Yes,Yes,No,No,No,Month-to-month,Yes,11,70.2,772.2,0
No,Yes,No,No,No,Month-to-month,Yes,8,85.2,681.6,1
No,No,No,No,No,Month-to-month,No,3,75.25,225.75,1
No,Yes,Yes,Yes,No,One year,No,55,59.45,3269.75,0
No,Yes,No,No,No,Month-to-month,Yes,33,93.35,3080.5499999999997,0
No,No,No,No,No,Month-to-month,No,46,44.95,2067.7000000000003,0
No,No,No,No,No,Two year,No,34,26.1,887.4000000000001,0
No,No,No,No,No,Month-to-month,No,3,20.2,60.599999999999994,0
No,Yes,Yes,No,No,Two year,No,30,21.25,637.5,0
No,No,No,Yes,Yes,One year,No,33,59.4,1960.2,0
No,Yes,Yes,No,No,One year,Yes,45,95.0,4275.0,0
No,No,No,Yes,Yes,Month-to-month,Yes,40,61.9,2476.0,0
No,No,No,Yes,Yes,Two year,Yes,71,118.65,8424.15,0
No,No,No,No,No,Month-to-month,No,1,54.35,54.35,1
No,Yes,Yes,Yes,Yes,Two year,No,72,64.45,4640.400000000001,0
No,Yes,Yes,No,No,Month-to-month,Yes,22,80.15,1763.3000000000002,0
No,Yes,Yes,No,No,One year,Yes,46,20.2,929.1999999999999,0
No,Yes,Yes,No,No,Two year,No,55,21.0,1155.0,0
No,No,No,No,No,Month-to-month,No,1,20.45,20.45,0
No,No,No,No,Yes,One year,Yes,12,75.85,910.1999999999999,0
No,No,No,No,No,Month-to-month,Yes,31,80.45,2493.9500000000003,0
No,Yes,No,No,No,Month-to-month,Yes,5,24.95,124.75,1
No,Yes,Yes,Yes,No,Two year,Yes,67,75.5,5058.5,0
No,No,No,No,No,Month-to-month,No,1,44.45,44.45,0
No,Yes,No,Yes,No,One year,Yes,40,42.35,1694.0,1
No,Yes,Yes,Yes,No,Month-to-month,Yes,41,74.55,3056.5499999999997,0
No,No,No,No,No,Month-to-month,Yes,1,75.3,75.3,1
No,No,No,Yes,No,One year,Yes,51,94.8,4834.8,1
No,Yes,Yes,Yes,Yes,Two year,No,42,48.15,2022.3,0
No,Yes,Yes,No,No,One year,No,23,19.65,451.95,0
Yes,No,No,No,No,Month-to-month,Yes,1,70.55,70.55,1
No,No,No,No,No,Month-to-month,No,1,20.15,20.15,0
No,No,No,Yes,No,Month-to-month,Yes,56,106.6,5969.599999999999,0
No,No,Yes,No,No,Month-to-month,Yes,15,91.0,1365.0,0
No,Yes,Yes,No,No,Two year,Yes,12,25.4,304.79999999999995,0
No,Yes,Yes,Yes,Yes,Two year,No,54,69.95,3777.3,0
No,No,No,No,No,Month-to-month,Yes,7,66.85,467.94999999999993,0
No,Yes,Yes,No,No,Month-to-month,No,33,86.15,2842.9500000000003,1
No,Yes,Yes,No,No,Month-to-month,No,16,20.15,322.4,0
No,No,Yes,Yes,No,One year,No,21,64.85,1361.85,0
Yes,Yes,No,No,No,Two year,No,30,74.85,2245.5,0
No,No,No,No,Yes,Month-to-month,Yes,3,50.5,151.5,0
No,No,No,No,No,Month-to-month,No,11,72.9,801.9000000000001,0
No,No,No,Yes,Yes,One year,Yes,62,115.05,7133.099999999999,0
No,No,No,No,No,Month-to-month,No,18,19.0,342.0,0
No,No,Yes,No,No,Month-to-month,No,6,19.55,117.30000000000001,0
No,No,No,No,No,One year,Yes,46,101.1,4650.599999999999,0
No,No,No,No,No,Month-to-month,Yes,21,84.1,1766.1,0
No,No,No,No,No,Two year,Yes,68,24.15,1642.1999999999998,0
No,No,No,No,No,Month-to-month,Yes,1,50.1,50.1,0
No,Yes,No,No,No,Month-to-month,Yes,25,74.6,1864.9999999999998,0
No,No,Yes,No,No,Two year,No,24,19.75,474.0,0
No,Yes,No,No,No,Month-to-month,Yes,30,85.0,2550.0,1
No,No,No,No,No,Month-to-month,No,2,80.55,161.1,1
No,Yes,No,No,No,One year,Yes,51,106.8,5446.8,0
No,Yes,Yes,Yes,Yes,Two year,Yes,57,84.5,4816.5,0
No,No,No,No,No,Two year,No,15,25.05,375.75,0
No,Yes,Yes,Yes,Yes,Two year,Yes,72,83.7,6026.400000000001,0
No,No,No,No,No,Month-to-month,Yes,2,75.8,151.6,1
No,Yes,No,No,No,Month-to-month,No,28,96.6,2704.7999999999997,0
Yes,Yes,No,No,No,Month-to-month,Yes,29,98.5,2856.5,1
No,Yes,Yes,Yes,Yes,Two year,Yes,70,101.1,7077.0,0
No,No,No,No,No,One year,No,13,20.2,262.59999999999997,0
Yes,Yes,No,Yes,Yes,One year,Yes,59,94.05,5548.95,0
Yes,Yes,No,No,No,Month-to-month,Yes,13,95.25,1238.25,1
Yes,Yes,No,No,No,Month-to-month,Yes,7,74.4,520.8000000000001,1
No,Yes,No,Yes,Yes,Two year,No,62,81.0,5022.0,0
No,No,No,Yes,Yes,One year,Yes,21,60.25,1265.25,0
No,No,No,No,No,Month-to-month,No,2,60.85,121.7,0
No,No,No,No,No,Month-to-month,No,1,43.95,43.95,0
No,No,No,No,No,Month-to-month,No,4,86.05,344.2,0
No,No,No,No,No,One year,No,19,20.25,384.75,0
No,No,No,No,Yes,Month-to-month,No,30,85.15,2554.5,1
No,Yes,Yes,No,No,Two year,Yes,67,19.4,1299.8,0
Yes,Yes,No,Yes,No,Two year,Yes,72,102.65,7390.8,0
